Category,Skill Name,Description,Usage Scenario
배포 및 자동화,ship,"테스트, 버전업, CHANGELOG 업데이트, PR 생성까지 한 번에 진행","배포 준비됐어, PR 올려줘"
배포 및 자동화,autoplan,CEO/디자인/엔지니어 리뷰를 자동으로 수행하고 의사결정,자동으로 계획 검토해줘
배포 및 자동화,land-and-deploy,PR 병합 및 프로덕션 배포 후 상태 확인,배포 완료해줘
디버깅 및 분석,investigate,버그 근본 원인 조사 및 수정안 제안,"이거 왜 안돼?, 디버깅 시작해"
디버깅 및 분석,codex,강력한 에이전틱 코딩 모델의 제2의 의견,코덱스한테 물어봐줘
디버깅 및 분석,graphifyy,프로젝트 지식 그래프 생성 및 관계 분석,코드 구조 분석해줘
디버깅 및 분석,health,코드 품질 점검 및 점수 산출,현재 코드 상태 어때?
디자인 및 UI,design-consultation,브랜드 가이드라인 및 디자인 시스템 구축,디자인 컨셉 잡아줘
디자인 및 UI,design-shotgun,여러 디자인 시안 생성 및 비교,시안 좀 보여줘
디자인 및 UI,design-html,승인된 디자인을 실제 HTML/CSS 코드로 구현,디자인 코드로 만들어줘
디자인 및 UI,design-review,디자인 일관성 및 계층 구조 시각적 감사,디자인 검수해줘
프로젝트 관리,checkpoint,현재 작업 상태 저장 및 복구,"작업 저장해둬, 어디까지 했지?"
프로젝트 관리,freeze / guard,특정 폴더 수정 제한으로 안전성 확보,"이 폴더만 건드려, 안전 모드"
프로젝트 관리,learn,프로젝트 지식 검색 및 관리,예전에 어떻게 했었지?
프로젝트 관리,retro,주간 작업 내용 분석 및 회고 보고서 생성,이번 주 회고해줘
품질 및 테스트,qa,웹 사이트 구동 버그 탐지 및 자동 수정,"테스트 해봐, QA 돌려줘"
품질 및 테스트,benchmark,성능 지표(로딩 시간 등) 측정,속도 체크해줘
품질 및 테스트,canary,배포 후 실시간 에러 감시,배포 후 감시해줘
지식 및 전략,plan-ceo-review,비즈니스 관점에서 계획 재검토,더 크게 생각해보자
지식 및 전략,office-hours,아이디어 및 설계 브레인스토밍,이 아이디어 어때?
지식 및 전략,plan-eng-review,기술적 아키텍처 및 예외 처리 검토,기술적으로 문제없어?
